LogE,R,G,B
-4.0,0.377,0.632,0.831
-3.949,0.361,0.609,0.831
-3.899,0.346,0.588,0.831
-3.848,0.33,0.57,0.831
-3.798,0.316,0.555,0.831
-3.747,0.303,0.542,0.831
-3.697,0.29,0.531,0.831
-3.646,0.279,0.522,0.831
-3.596,0.269,0.514,0.831
-3.545,0.261,0.508,0.831
-3.495,0.255,0.503,0.831
-3.444,0.25,0.5,0.831
-3.394,0.248,0.498,0.831
-3.343,0.247,0.496,0.831
-3.293,0.25,0.495,0.832
-3.242,0.254,0.495,0.834
-3.192,0.259,0.494,0.838
-3.141,0.265,0.495,0.843
-3.091,0.27,0.498,0.85
-3.04,0.275,0.507,0.858
-2.99,0.28,0.519,0.867
-2.939,0.286,0.533,0.877
-2.889,0.293,0.549,0.887
-2.838,0.306,0.565,0.898
-2.788,0.325,0.581,0.914
-2.737,0.344,0.596,0.933
-2.687,0.362,0.609,0.954
-2.636,0.377,0.622,0.977
-2.586,0.391,0.634,1.001
-2.535,0.405,0.647,1.025
-2.485,0.42,0.661,1.049
-2.434,0.435,0.676,1.072
-2.384,0.453,0.693,1.097
-2.333,0.472,0.712,1.122
-2.283,0.494,0.734,1.149
-2.232,0.516,0.761,1.176
-2.182,0.54,0.793,1.203
-2.131,0.565,0.829,1.232
-2.081,0.589,0.867,1.261
-2.03,0.613,0.906,1.291
-1.98,0.638,0.946,1.321
-1.929,0.664,0.985,1.352
-1.879,0.691,1.023,1.384
-1.828,0.721,1.064,1.417
-1.778,0.753,1.105,1.45
-1.727,0.789,1.147,1.484
-1.677,0.834,1.19,1.519
-1.626,0.886,1.233,1.554
-1.576,0.943,1.276,1.59
-1.525,0.999,1.318,1.627
-1.475,1.053,1.358,1.665
-1.424,1.101,1.397,1.703
-1.374,1.141,1.435,1.745
-1.323,1.176,1.471,1.788
-1.273,1.209,1.506,1.834
-1.222,1.24,1.541,1.881
-1.172,1.272,1.576,1.927
-1.121,1.305,1.612,1.971
-1.071,1.341,1.648,2.014
-1.02,1.381,1.686,2.053
-0.97,1.425,1.726,2.09
-0.919,1.469,1.768,2.124
-0.869,1.513,1.813,2.157
-0.818,1.554,1.859,2.188
-0.768,1.592,1.906,2.22
-0.717,1.628,1.954,2.251
-0.667,1.662,2.0,2.283
-0.616,1.697,2.045,2.317
-0.566,1.731,2.09,2.352
-0.515,1.766,2.134,2.39
-0.465,1.801,2.178,2.432
-0.414,1.837,2.22,2.475
-0.364,1.872,2.262,2.519
-0.313,1.908,2.302,2.559
-0.263,1.945,2.342,2.595
-0.212,1.984,2.38,2.628
-0.162,2.024,2.418,2.66
-0.111,2.068,2.454,2.69
-0.061,2.112,2.489,2.722
-0.01,2.153,2.524,2.757
0.04,2.191,2.563,2.793
0.091,2.228,2.603,2.831
0.141,2.263,2.644,2.87
0.192,2.297,2.683,2.911
0.242,2.329,2.722,2.952
0.293,2.359,2.761,2.995
0.343,2.387,2.8,3.039
0.394,2.414,2.838,3.084
0.444,2.437,2.876,3.13
0.495,2.459,2.914,3.177
0.545,2.477,2.951,3.225
0.596,2.493,2.989,3.274
0.646,2.506,3.026,3.324
0.697,2.516,3.062,3.374
0.747,2.523,3.099,3.426
0.798,2.526,3.135,3.478
0.848,2.525,3.171,3.531
0.899,2.521,3.207,3.584
0.949,2.513,3.243,3.638
1.0,2.5,3.278,3.693
