log_e,r,g,b
-3.000000,0.144698,0.504460,0.755327
-2.949000,0.145631,0.504460,0.755327
-2.899000,0.147495,0.504460,0.755327
-2.848000,0.148427,0.504460,0.755327
-2.798000,0.150292,0.504460,0.755327
-2.747000,0.152156,0.504460,0.755327
-2.697000,0.153089,0.504460,0.755327
-2.646000,0.154953,0.504460,0.756260
-2.596000,0.156818,0.503527,0.757192
-2.545000,0.158682,0.501663,0.758124
-2.495000,0.160547,0.499798,0.760921
-2.444000,0.160547,0.497934,0.763718
-2.394000,0.160547,0.496069,0.767447
-2.343000,0.160547,0.497002,0.771176
-2.293000,0.160547,0.500731,0.775837
-2.242000,0.161479,0.509121,0.784227
-2.192000,0.166140,0.519376,0.794482
-2.141000,0.176395,0.529631,0.804737
-2.091000,0.188514,0.540818,0.815924
-2.040000,0.200634,0.552937,0.828043
-1.990000,0.213685,0.566921,0.841095
-1.939000,0.228602,0.582769,0.856011
-1.889000,0.244450,0.599550,0.871860
-1.838000,0.262163,0.617263,0.889573
-1.788000,0.279876,0.635908,0.908218
-1.737000,0.298521,0.656418,0.929660
-1.687000,0.318098,0.679724,0.952034
-1.636000,0.337676,0.703963,0.975340
-1.586000,0.358185,0.729134,0.999579
-1.535000,0.379627,0.755237,1.023818
-1.485000,0.402002,0.781340,1.048056
-1.434000,0.425308,0.808376,1.071363
-1.384000,0.448614,0.834479,1.094669
-1.333000,0.472853,0.859650,1.117976
-1.283000,0.497092,0.886686,1.142214
-1.232000,0.525060,0.913721,1.165521
-1.182000,0.553027,0.940757,1.189760
-1.131000,0.581927,0.967792,1.213998
-1.081000,0.609895,0.995760,1.238237
-1.030000,0.636931,1.022795,1.263408
-0.980000,0.661169,1.050763,1.287647
-0.929000,0.684476,1.077798,1.312818
-0.879000,0.705918,1.105766,1.338921
-0.828000,0.727360,1.132802,1.364092
-0.778000,0.746937,1.158905,1.390195
-0.727000,0.766514,1.185940,1.416298
-0.677000,0.786092,1.212044,1.441469
-0.626000,0.806602,1.237215,1.467573
-0.576000,0.826179,1.263318,1.493676
-0.525000,0.847621,1.288489,1.518847
-0.475000,0.869063,1.313660,1.544950
-0.424000,0.892369,1.338831,1.570121
-0.374000,0.917540,1.364002,1.595292
-0.323000,0.942711,1.389173,1.620463
-0.273000,0.969747,1.414344,1.645634
-0.222000,0.996782,1.439515,1.670805
-0.172000,1.023818,1.464686,1.696908
-0.121000,1.049921,1.490789,1.722079
-0.071000,1.075092,1.516892,1.749114
-0.020000,1.098398,1.542995,1.775218
0.030000,1.119840,1.570031,1.802253
0.081000,1.140350,1.597998,1.829289
0.131000,1.159927,1.625966,1.855392
0.182000,1.178573,1.653934,1.882427
0.232000,1.197218,1.682834,1.909463
0.283000,1.215863,1.710802,1.936498
0.333000,1.233576,1.739702,1.963534
0.384000,1.252221,1.767669,1.989637
0.434000,1.270866,1.795637,2.015740
0.485000,1.289511,1.822673,2.041843
0.535000,1.310021,1.848776,2.067947
0.586000,1.330531,1.873947,2.094050
0.636000,1.351973,1.900050,2.120153
0.687000,1.373414,1.924289,2.146256
0.737000,1.394856,1.949460,2.171427
0.788000,1.416298,1.973698,2.196598
0.838000,1.437740,1.997005,2.221769
0.889000,1.458250,2.020311,2.246940
0.939000,1.478760,2.043618,2.272111
0.990000,1.498337,2.065992,2.296350
1.040000,1.518847,2.087434,2.320589
1.091000,1.538424,2.108876,2.342963
1.141000,1.557069,2.129386,2.363473
1.192000,1.574782,2.149895,2.382118
1.242000,1.591563,2.169473,2.400763
1.293000,1.607411,2.189050,2.417543
1.343000,1.622327,2.208627,2.434324
1.394000,1.637243,2.227273,2.451105
1.444000,1.651227,2.245918,2.466953
1.495000,1.664279,2.263631,2.481869
1.545000,1.676398,2.280411,2.496785
1.596000,1.688518,2.296260,2.511702
1.646000,1.699705,2.310244,2.524753
1.697000,1.709960,2.324227,2.537805
1.747000,1.720214,2.338211,2.550856
1.798000,1.730469,2.350331,2.562976
1.848000,1.738860,2.362450,2.574163
1.899000,1.748182,2.374569,2.585350
1.949000,1.755640,2.384824,2.595605
2.000000,1.763098,2.395079,2.604927
