LogE,R,G,B
-4.0000,0.3390,0.7160,1.1230
-3.9490,0.3334,0.7160,1.0041
-3.8990,0.3277,0.7160,0.9058
-3.8480,0.3229,0.7160,0.8179
-3.7980,0.3197,0.7160,0.7455
-3.7470,0.3164,0.7160,0.6834
-3.6970,0.3140,0.7160,0.6369
-3.6460,0.3124,0.7160,0.6007
-3.5960,0.3116,0.7160,0.5697
-3.5450,0.3108,0.7160,0.5490
-3.4950,0.3100,0.7160,0.5335
-3.4440,0.3100,0.7160,0.5231
-3.3940,0.3108,0.7160,0.5231
-3.3430,0.3116,0.7170,0.5231
-3.2930,0.3132,0.7210,0.5335
-3.2420,0.3156,0.7260,0.5593
-3.1920,0.3180,0.7330,0.6007
-3.1410,0.3213,0.7400,0.6472
-3.0910,0.3269,0.7510,0.6989
-3.0400,0.3342,0.7640,0.7558
-2.9900,0.3438,0.7780,0.8179
-2.9390,0.3543,0.7940,0.8799
-2.8890,0.3680,0.8090,0.9679
-2.8380,0.3858,0.8250,1.0816
-2.7880,0.4043,0.8430,1.2057
-2.7370,0.4220,0.8620,1.3402
-2.6870,0.4390,0.8820,1.4798
-2.6360,0.4535,0.9030,1.6091
-2.5860,0.4672,0.9260,1.7332
-2.5350,0.4809,0.9510,1.8522
-2.4850,0.4946,0.9780,1.9711
-2.4340,0.5091,1.0060,2.0952
-2.3840,0.5244,1.0350,2.2193
-2.3330,0.5430,1.0630,2.3486
-2.2830,0.5639,1.0910,2.4831
-2.2320,0.5881,1.1180,2.6227
-2.1820,0.6131,1.1450,2.7675
-2.1310,0.6381,1.1730,2.9123
-2.0810,0.6631,1.2000,3.0675
-2.0300,0.6873,1.2280,3.2226
-1.9800,0.7083,1.2550,3.3829
-1.9290,0.7284,1.2830,3.5432
-1.8790,0.7478,1.3110,3.7087
-1.8280,0.7671,1.3390,3.8742
-1.7780,0.7848,1.3670,4.0500
-1.7270,0.8034,1.3950,4.2362
-1.6770,0.8219,1.4240,4.4224
-1.6260,0.8405,1.4530,4.6137
-1.5760,0.8598,1.4820,4.8051
-1.5250,0.8800,1.5110,4.9964
-1.4750,0.9001,1.5390,5.1774
-1.4240,0.9211,1.5670,5.3584
-1.3740,0.9429,1.5950,5.5239
-1.3230,0.9646,1.6210,5.6842
-1.2730,0.9864,1.6470,5.8393
-1.2220,1.0082,1.6720,5.9893
-1.1720,1.0308,1.6950,6.1393
-1.1210,1.0525,1.7180,6.2841
-1.0710,1.0751,1.7400,6.4289
-1.0200,1.0977,1.7630,6.5685
-0.9700,1.1202,1.7850,6.7133
-0.9190,1.1428,1.8090,6.8633
-0.8690,1.1654,1.8330,7.0133
-0.8180,1.1888,1.8580,7.1632
-0.7680,1.2122,1.8830,7.3132
-0.7170,1.2347,1.9090,7.4632
-0.6670,1.2581,1.9350,7.6080
-0.6160,1.2807,1.9610,7.7424
-0.5660,1.3033,1.9880,7.8717
-0.5150,1.3266,2.0150,7.9907
-0.4650,1.3500,2.0430,8.1044
-0.4140,1.3726,2.0710,8.2234
-0.3640,1.3960,2.1020,8.3475
-0.3130,1.4186,2.1340,8.4768
-0.2630,1.4411,2.1680,8.6061
-0.2120,1.4629,2.2020,8.7457
-0.1620,1.4839,2.2340,8.8957
-0.1110,1.5032,2.2640,9.0611
-0.0610,1.5226,2.2890,9.2421
-0.0100,1.5411,2.3100,9.4490
0.0400,1.5588,2.3310,9.6610
0.0910,1.5758,2.3500,9.8937
0.1410,1.5919,2.3670,10.1420
0.1920,1.6080,2.3830,10.3385
0.2420,1.6233,2.3960,10.4885
0.2930,1.6378,2.4070,10.5919
0.3430,1.6524,2.4150,10.6488
0.3940,1.6661,2.4200,10.6488
0.4440,1.6790,2.4220,10.5712
0.4950,1.6911,2.4200,10.4212
0.5450,1.7032,2.4150,10.1782
0.5960,1.7144,2.4060,9.8420
0.6460,1.7249,2.3930,9.4025
0.6970,1.7354,2.3750,8.8439
0.7470,1.7451,2.3530,8.1613
0.7980,1.7548,2.3260,7.3442
0.8480,1.7636,2.2940,6.3875
0.8990,1.7717,2.2560,5.2808
0.9490,1.7797,2.2130,4.0087
1.0000,1.7870,2.1640,2.5710
