LogE,R,G,B
-3.0,1.696,2.195,1.762
-2.97,1.696,2.193,1.758
-2.939,1.696,2.19,1.753
-2.909,1.696,2.188,1.749
-2.879,1.696,2.185,1.745
-2.848,1.696,2.181,1.742
-2.818,1.696,2.178,1.738
-2.788,1.696,2.174,1.735
-2.758,1.696,2.171,1.732
-2.727,1.695,2.167,1.73
-2.697,1.694,2.162,1.728
-2.667,1.691,2.158,1.726
-2.636,1.689,2.153,1.724
-2.606,1.685,2.148,1.723
-2.576,1.682,2.143,1.72
-2.545,1.678,2.137,1.717
-2.515,1.674,2.131,1.713
-2.485,1.669,2.125,1.706
-2.455,1.665,2.118,1.698
-2.424,1.661,2.111,1.688
-2.394,1.656,2.104,1.677
-2.364,1.65,2.095,1.666
-2.333,1.644,2.086,1.655
-2.303,1.638,2.076,1.643
-2.273,1.631,2.065,1.632
-2.242,1.623,2.051,1.621
-2.212,1.615,2.036,1.61
-2.182,1.607,2.018,1.598
-2.152,1.598,1.999,1.585
-2.121,1.589,1.979,1.572
-2.091,1.579,1.959,1.557
-2.061,1.569,1.939,1.542
-2.03,1.556,1.918,1.524
-2.0,1.543,1.896,1.503
-1.97,1.528,1.872,1.48
-1.939,1.511,1.844,1.454
-1.909,1.493,1.812,1.427
-1.879,1.473,1.772,1.398
-1.848,1.449,1.727,1.37
-1.818,1.421,1.681,1.342
-1.788,1.39,1.634,1.313
-1.758,1.358,1.591,1.284
-1.727,1.326,1.55,1.254
-1.697,1.294,1.511,1.223
-1.667,1.261,1.472,1.191
-1.636,1.227,1.432,1.16
-1.606,1.192,1.391,1.129
-1.576,1.156,1.347,1.098
-1.545,1.12,1.299,1.066
-1.515,1.082,1.248,1.035
-1.485,1.044,1.196,1.003
-1.455,1.005,1.148,0.971
-1.424,0.965,1.103,0.939
-1.394,0.921,1.059,0.907
-1.364,0.875,1.016,0.876
-1.333,0.828,0.973,0.845
-1.303,0.781,0.93,0.815
-1.273,0.736,0.887,0.785
-1.242,0.693,0.843,0.755
-1.212,0.654,0.8,0.726
-1.182,0.616,0.758,0.696
-1.152,0.58,0.717,0.667
-1.121,0.545,0.676,0.639
-1.091,0.512,0.637,0.611
-1.061,0.481,0.6,0.584
-1.03,0.452,0.564,0.557
-1.0,0.426,0.528,0.532
-0.97,0.402,0.494,0.507
-0.939,0.38,0.463,0.482
-0.909,0.36,0.437,0.458
-0.879,0.34,0.415,0.435
-0.848,0.32,0.396,0.412
-0.818,0.301,0.378,0.39
-0.788,0.283,0.36,0.37
-0.758,0.266,0.343,0.351
-0.727,0.25,0.325,0.333
-0.697,0.238,0.306,0.316
-0.667,0.227,0.287,0.299
-0.636,0.217,0.269,0.283
-0.606,0.208,0.253,0.269
-0.576,0.199,0.242,0.256
-0.545,0.191,0.233,0.245
-0.515,0.183,0.225,0.236
-0.485,0.176,0.218,0.227
-0.455,0.168,0.212,0.22
-0.424,0.162,0.206,0.213
-0.394,0.155,0.201,0.206
-0.364,0.149,0.196,0.2
-0.333,0.143,0.19,0.194
-0.303,0.137,0.184,0.188
-0.273,0.131,0.177,0.183
-0.242,0.125,0.17,0.177
-0.212,0.119,0.163,0.171
-0.182,0.114,0.157,0.164
-0.152,0.11,0.152,0.158
-0.121,0.108,0.149,0.153
-0.091,0.107,0.146,0.15
-0.061,0.108,0.144,0.15
-0.03,0.11,0.143,0.154
0.0,0.114,0.143,0.159
